Compound,mz,rt,UM1850B_ANGDT_0.25_mL_36_1_4792,UM1850B_ANGDT_0.25_mL_36_1_4802,UM1850B_ANGDT_0.25_mL_36_1_4815,UM1852B_Coculture_42_1_4685,UM1852B_Coculture_42_1_4695,UM1852B_Coculture_42_1_4709,UM1852B_Coculture_42_1_4785,UM1850B_ANGDT_48_1_4782,UM1850B_ANGDT_48_1_4794,UM1850B_ANGDT_48_1_4823,UM1852B_Coculture_0.25mgml_19_1_4812,UM1852B_Coculture_0.25mgml_19_1_4819,UM1852B_Coculture_0.25mgml_19_2_4820
1845,669.3980276,232.18,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,542.2782676,249.1,0,0,0,0,0,0,0,0,0,0,0,0,0
3902,582.3010276,136.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1483,684.3649726,210.49,0,0,0,0,0,0,0,0,0,0,0,0,0
9283,688.3641726,213.92,0,0,0,0,0,0,0,0,0,0,1755.39,1932.58,1761.38
9768,626.8465626,223.29,0,0,0,0,0,0,0,0,0,0,0,0,0
504,604.2960276,145.29,0,0,0,0,0,0,0,0,0,0,0,0,0
869,700.3753526,167.51,0,0,0,3117.92,2599.69,3032.67,0,0,0,0,0,0,0
1179,954.1708476,191.33,0,0,0,4720,4683.63,0,0,0,0,0,0,0,0
158,432.6844376,56.85,0,0,0,0,0,0,0,0,0,0,0,0,0
685,672.3680476,157.32,0,0,0,1028,992.25,964.28,0,0,0,0,0,0,0
700,777.8284826,158.16,0,0,0,0,0,0,0,0,0,0,0,0,0
3220,236.6503876,55.64,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,779.3800626,194.19,0,0,0,0,0,0,0,0,0,0,0,0,0
10215,436.2517676,235.12,0,0,0,0,0,0,0,994.76,1040.05,1155.7,0,0,0
4327,522.2733976,141.79,0,0,0,1823.57,1507.57,1636.02,0,0,0,0,2824.57,2785.63,2063.15
1103,635.7650176,187.24,0,0,0,0,0,0,0,1246.07,1334.35,1291.66,0,0,0
772,536.7717976,161.88,0,0,0,0,0,0,0,0,0,0,0,0,0
7670,551.2987876,187.23,0,0,0,0,0,0,0,0,0,0,0,0,0
